title,label
reformulating nelsonweinberg rs1,snarxiv
probe certain notion integrability check black brane probe gravitational birefringence model pion hamiltonian qed,snarxiv
heterotic string theory excluding path integral supersymmetric yangmills theory  found kloosterman sum,snarxiv
entropic approach lithium problem,snarxiv
model kaon v tdual technicolor,snarxiv
tensor network center galaxy,snarxiv
instantons cmb,snarxiv
example double copy construction type iia string p^9 model charginos,snarxiv
progress tensor network surface sun,snarxiv
dsm/t^m correspondence,snarxiv
better approach typical state problem,snarxiv
general case correlators higherspin operator qcd3 surrounded special lagrangian brane,snarxiv
certain notion equivariant structure,snarxiv
formulating condensate reheating,snarxiv
reconstructing automorphic form chiral softcollinear effective theory deformed t hooft lines: type iia c^m,snarxiv
prompt higgses implemented donaldsonwitten invariant,snarxiv
crunch matrix model,snarxiv
typical state problem v index theorem type iia deformed line operator,snarxiv
formulation feynman diagram model charginos poincare symmetric vortex,snarxiv
path integral heterotic string theory f4 quotient nmanifolds e6 holonomy,snarxiv
quantum reduction jackiwteitelboim gravity t hooft line deformed surface operator geometric langlandsdual qed3,snarxiv
quantum approach finetuning problem,snarxiv
seibergdual impossible model cosmic ray,snarxiv
solution supersymmetric matrix model presence pq brane schwarzschild black branes formed collapse,snarxiv
causality constraint,snarxiv
disturbing implication unified law,snarxiv
surface defect planck scale,snarxiv
beautiful approach mu problem,snarxiv
instanton liquid intermediate scale obtained donaldson polynomial,snarxiv
nonndimensional model fake inflation,snarxiv
type string extension nonperturbative tqfts de sitter space,snarxiv
reformulating model quintessence,snarxiv
discrete holographicdualities probe qed3/matrix model correspondence,snarxiv
generalizing representation heterotic string symmetric space \zm holonomy: condensate planck scale,snarxiv
index theorem r^m general nahms equation,snarxiv
scattering equation,snarxiv
fast scrambler magneticdual invertible qfts,snarxiv
magnons,snarxiv
firewall apparent horizon,snarxiv
constructing heterotic string 8 copy ads8,snarxiv
qed model primordial fluctuation,snarxiv
instantons localization,snarxiv
instanton liquid $\lambda{qcd}$,snarxiv
reduction quasimodular form model cosmic ray,snarxiv
deriving probe probe dsn/xxz model correspondence sheaf cohomology involving type iia string ,snarxiv
general structure type iia string,snarxiv
progress evaluating adjoint string theory,snarxiv
n=1duality largen violation superconformal symmetry,snarxiv
large black hole formed collapse apparent horizon,snarxiv
ir behavior maximizes model instanton liquid,snarxiv
soft theorem,snarxiv
dimensionality ads5,snarxiv
investigating d8 brane probe center galaxy: anthropic approach,snarxiv
tdual model bubble maximizes line defect loop,snarxiv
fast scrambler btype brane model $\omega<1$ inflation reconsidered,snarxiv
